Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
one.school,resell,132,44%,3,"Business,General,Media,Technology",27/04/2025 20:54,27/04/2026 20:54,Porkbun LLC
brief.school,available,124,19%,5,"Business,Education,General,Law",,,
second.school,resell,120,23%,6,"General,Mathematics",30/11/2017 23:53,30/11/2025 23:53,"GoDaddy.com, LLC"
complete.school,available,120,21%,8,"Manufacturing,Retail,Technology",,,
wizard.school,expiring,118,42%,6,"Entertainment,Media,Technology",17/09/2015 00:17,17/09/2025 00:17,"NameSilo, LLC"
flat.school,available,116,24%,4,"Construction,Real Estate",,,
tonic.school,available,114,22%,5,"Health and Fitness,Medicine,Science",,,
zero.school,resell,112,49%,4,Mathematics,10/10/2023 15:15,10/10/2026 15:15,"GoDaddy.com, LLC"
above.school,expiring,112,22%,5,Business,14/09/2021 21:20,14/09/2025 21:20,"GoDaddy.com, LLC"
acute.school,available,112,9%,5,"Mathematics,Medicine,Science",,,
hotshot.school,available,112,14%,7,"Business,Entertainment,Sports",,,
abiding.school,available,106,5%,7,"General,Religion",,,
active.school,resell,104,27%,6,"Health and Fitness,Sports,Travel",19/04/2025 15:15,19/04/2026 15:15,"Xiamen ChinaSource Internet Service Co., Ltd"
teen.school,resell,104,14%,4,"Education,Entertainment,Healthcare",15/05/2025 15:15,15/05/2026 15:15,"Sav.com, LLC - 33"
captive.school,available,102,14%,7,"Entertainment,Hospitality,Technology",,,
absent.school,available,102,8%,6,"Business,Education,Technology",,,
third.school,resell,100,16%,5,Mathematics,27/01/2025 15:44,27/01/2026 15:44,"Sav.com, LLC"
whiz.school,available,100,12%,4,"Business,Education,Technology",,,
crack.school,available,100,20%,5,Sports,,,
ninth.school,available,100,9%,5,Mathematics,,,
abrupt.school,available,100,3%,6,"Medicine,Science",,,
eighth.school,available,100,6%,6,Mathematics,,,
remove.school,available,100,13%,6,"Construction,Manufacturing,Technology",,,
sixth.school,available,100,8%,5,Mathematics,,,
genius.school,resell,98,46%,6,"Arts,Education,Technology",23/02/2017 20:48,23/02/2026 20:48,GoDaddy Online Services Cayman Islands Ltd.
whizz.school,available,98,11%,5,"Business,Education,Technology",,,
doable.school,available,96,9%,6,"Business,Education,Technology",,,
academic.school,expired,96,20%,8,"Education,Humanities,Science",02/07/2023 11:13,02/07/2025 11:13,"Sav.com, LLC"
alamode.school,available,96,12%,9,Fashion,,,
forgiving.school,available,96,3%,9,"Healthcare,Religion",,,
about.school,resell,94,28%,5,"Business,General,Media,Technology",12/08/2024 17:00,12/08/2026 17:00,"Sav.com, LLC - 11"
abject.school,available,94,7%,6,Humanities,,,
adequate.school,available,94,9%,8,"Education,Healthcare,Technology",,,
derelict.school,available,92,7%,8,"Construction,Real Estate",,,
exemplary.school,available,92,5%,9,"Business,Education,Healthcare",,,
adjective.school,available,92,5%,9,Education,,,
neutral.school,available,92,20%,7,"Business,Media,Politics",,,
twentieth.school,available,92,3%,9,Mathematics,,,
adept.school,available,92,24%,5,"Education,Health and Fitness,Sports",,,
nought.school,available,92,4%,6,Mathematics,,,
abroad.school,available,92,12%,6,"Hospitality,Travel",,,
abortive.school,available,90,1%,8,"Medicine,Science",,,
addictive.school,available,90,9%,9,Healthcare,,,
additional.school,available,90,8%,10,"Fashion,Retail,Technology",,,
adoring.school,available,90,2%,7,"Entertainment,Fashion,Retail",,,
endearing.school,available,90,1%,9,"Entertainment,Fashion,Retail",,,
leash.school,available,90,7%,5,"General,Health and Fitness,Retail",,,
riveting.school,available,90,6%,8,"Entertainment,Media,Technology",,,
gripping.school,available,90,3%,8,"Entertainment,Media,Technology",,,
proficient.school,available,88,8%,10,"Education,Health and Fitness,Sports",,,
adlib.school,available,88,7%,6,Entertainment,,,
actionable.school,available,88,13%,10,"Business,Law",,,
fifteen.school,available,88,13%,7,Mathematics,,,
ten.school,available,88,28%,3,"General,Mathematics",,,
sixteen.school,available,88,11%,7,Mathematics,,,
hundred.school,available,88,14%,7,Mathematics,,,
activist.school,available,88,12%,8,"Humanities,Politics",,,
adolescent.school,available,86,3%,10,"Education,Entertainment,Healthcare",,,
recondite.school,available,86,4%,9,"Arts,Humanities,Science",,,
cipher.school,available,86,29%,6,Mathematics,,,
xix.school,available,86,11%,3,Mathematics,,,
xiv.school,available,86,12%,3,Mathematics,,,
aboriginal.school,available,86,10%,10,Humanities,,,
attendant.school,available,86,5%,9,"Healthcare,Hospitality,Transportation",,,
extempore.school,available,86,3%,9,Entertainment,,,
engrossing.school,available,86,0%,10,"Entertainment,Media,Technology",,,
accessory.school,available,84,8%,9,"Fashion,Retail,Technology",,,
adjustable.school,available,84,3%,10,"Manufacturing,Retail,Technology",,,
deviate.school,available,84,12%,7,"Medicine,Science",,,
grand.school,resell,84,25%,5,"Finance,General",07/06/2022 13:15,07/06/2026 13:15,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn)
seventeen.school,available,84,7%,9,Mathematics,,,
twentyone.school,available,84,13%,10,Mathematics,,,
thirteen.school,available,84,10%,8,Mathematics,,,
thousand.school,available,84,8%,8,Mathematics,,,
fourteen.school,available,84,8%,8,Mathematics,,,
twentytwo.school,available,84,11%,10,Mathematics,,,
sharp.school,resell,84,34%,5,"Arts,Fashion",28/03/2024 15:15,28/03/2026 15:15,"Xiamen ChinaSource Internet Service Co., Ltd"
